run_id,condition,spec_name,spec_version,metric,value,unit,timestamp
run_002,human_control,agent_education_system,1.0.0,hallucinations,0.0,count,2026-05-31T01:21:49.859289+00:00
run_002,human_control,agent_education_system,1.0.0,correction_freq,52.842,per_kkey,2026-05-31T01:21:49.859289+00:00
run_002,human_control,agent_education_system,1.0.0,complexity_mean,0.0,cc,2026-05-31T01:21:49.859289+00:00
run_002,human_control,agent_education_system,1.0.0,duplication_pct,0.0,%,2026-05-31T01:21:49.859289+00:00
run_002,human_control,agent_education_system,1.0.0,security_density,0.0,per_kloc,2026-05-31T01:21:49.859289+00:00
run_002,claude_code,agent_education_system,1.0.0,hallucinations,0.0,count,2026-05-31T01:21:49.859289+00:00
run_002,claude_code,agent_education_system,1.0.0,correction_freq,0.0,per_kkey,2026-05-31T01:21:49.859289+00:00
run_002,claude_code,agent_education_system,1.0.0,complexity_mean,1.615,cc,2026-05-31T01:21:49.859289+00:00
run_002,claude_code,agent_education_system,1.0.0,duplication_pct,0.0,%,2026-05-31T01:21:49.859289+00:00
run_002,claude_code,agent_education_system,1.0.0,security_density,0.0,per_kloc,2026-05-31T01:21:49.859289+00:00
run_002,cursor_agent,agent_education_system,1.0.0,hallucinations,1.0,count,2026-05-31T01:21:49.859289+00:00
run_002,cursor_agent,agent_education_system,1.0.0,correction_freq,0.0,per_kkey,2026-05-31T01:21:49.859289+00:00
run_002,cursor_agent,agent_education_system,1.0.0,complexity_mean,2.026,cc,2026-05-31T01:21:49.859289+00:00
run_002,cursor_agent,agent_education_system,1.0.0,duplication_pct,0.0,%,2026-05-31T01:21:49.859289+00:00
run_002,cursor_agent,agent_education_system,1.0.0,security_density,62.937,per_kloc,2026-05-31T01:21:49.859289+00:00
run_002,replit_agent,agent_education_system,1.0.0,hallucinations,0.0,count,2026-05-31T01:21:49.859289+00:00
run_002,replit_agent,agent_education_system,1.0.0,correction_freq,0.0,per_kkey,2026-05-31T01:21:49.859289+00:00
run_002,replit_agent,agent_education_system,1.0.0,complexity_mean,0.0,cc,2026-05-31T01:21:49.859289+00:00
run_002,replit_agent,agent_education_system,1.0.0,duplication_pct,11.586,%,2026-05-31T01:21:49.859289+00:00
run_002,replit_agent,agent_education_system,1.0.0,security_density,0.0,per_kloc,2026-05-31T01:21:49.859289+00:00
run_002,antigravity,agent_education_system,1.0.0,hallucinations,1.0,count,2026-05-31T01:21:49.859289+00:00
run_002,antigravity,agent_education_system,1.0.0,correction_freq,0.0,per_kkey,2026-05-31T01:21:49.859289+00:00
run_002,antigravity,agent_education_system,1.0.0,complexity_mean,1.588,cc,2026-05-31T01:21:49.859289+00:00
run_002,antigravity,agent_education_system,1.0.0,duplication_pct,1.678,%,2026-05-31T01:21:49.859289+00:00
run_002,antigravity,agent_education_system,1.0.0,security_density,4.425,per_kloc,2026-05-31T01:21:49.859289+00:00
